Software_ID;Cluster_ID
S0350;0
S0173;0
S0182;0
S0143;0
S0168;0
S0576;0
S0339;0
S0083;0
S0428;0
S0453;0
S0441;0
S0238;0
S0147;0
S0484;0
S0481;0
S0448;0
S0253;0
S0341;0
S0514;0
S0067;1
S0006;1
S0438;1
S0397;1
S0546;1
S0502;1
S0200;1
S0338;1
S0587;1
S0501;1
S0157;1
S0031;1
S0369;1
S0475;1
S0410;1
S0036;2
S0599;2
S0061;2
S0224;2
S0394;2
S0053;2
S0228;2
S0359;2
S0063;2
S0141;2
S0402;2
S0149;2
S0521;2
S0570;2
S0515;3
S0235;3
S0332;3
S0121;3
S0218;3
S0048;3
S0363;3
S0255;4
S0518;4
S0330;4
S0244;4
S0092;4
S0214;4
S0391;4
S0469;4
S0217;4
S0265;4
S0459;4
S0179;4
S0221;4
S0574;5
S0393;5
S0226;5
S0251;5
S0564;5
S0100;5
S0263;5
S0085;5
S0119;5
S0203;5
S0058;5
S0188;5
S0384;6
S0064;6
S0040;6
S0361;6
S0467;6
S0503;6
S0164;6
S0034;6
S0019;6
S0487;6
S0219;6
S0381;6
S0565;6
S0089;6
S0385;6
S0035;6
S0210;7
S0155;7
S0074;7
S0136;7
S0088;7
S0559;7
S0154;7
S0236;7
S0025;7
S0010;8
S0273;8
S0464;8
S0016;8
S0060;8
S0237;8
S0151;8
S0240;8
S0250;8
S0471;8
S0257;8
S0553;8
S0038;8
S0153;8
S0007;8
S0150;8
S0106;8
S0215;8
S0275;8
S0358;9
S0383;9
S0379;9
S0520;9
S0447;9
S0552;9
S0198;9
S0346;9
S0386;9
S0572;9
S0126;9
S0412;9
S0443;10
S0174;10
S0374;10
S0057;10
S0436;10
S0011;10
S0473;10
S0596;10
S0336;10
S0128;11
S0492;11
S0590;11
S0279;11
S0254;11
S0206;11
S0090;11
S0131;11
S0241;11
S0056;11
S0170;11
S0087;11
S0105;11
S0277;11
S0101;11
S0012;11
S0096;11
S0166;11
S0227;11
S0532;12
S0050;12
S0207;12
S0201;12
S0044;12
S0527;12
S0222;12
S0452;12
S0054;12
S0242;12
S0161;12
S0342;12
S0181;12
S0043;12
S0024;13
S0062;13
S0345;13
S0353;13
S0462;13
S0134;13
S0333;13
S0245;13
S0337;13
S0167;13
S0528;13
S0220;13
S0450;13
S0191;13
S0376;13
S0028;13
S0144;13
S0388;13
S0461;13
S0230;13
S0575;14
S0097;14
S0002;14
S0231;15
S0234;15
S0070;15
S0171;15
S0269;15
S0508;15
S0370;15
S0172;15
S0281;15
S0600;15
S0517;15
S0331;15
S0102;15
S0284;15
S0093;15
S0080;15
S0160;15
S0283;15
S0468;15
S0266;16
S0248;16
S0344;16
S0084;16
S0113;16
S0109;16
S0165;17
S0356;17
S0442;17
S0585;17
S0202;17
S0371;18
S0003;18
S0433;18
S0071;18
S0162;18
S0108;18
S0079;18
S0500;18
S0378;18
S0562;18
S0246;18
S0104;19
S0262;19
S0225;19
S0377;19
S0414;19
S0398;19
S0531;19
S0140;19
S0033;19
S0078;19
S0133;19
S0455;19
S0595;19
S0534;19
S0382;19
S0037;19
S0212;20
S0026;20
S0335;20
S0460;21
S0049;21
S0117;21
S0112;21
S0560;21
S0601;21
S0272;21
S0483;21
S0276;21
S0114;21
S0268;21
S0437;21
S0449;21
S0243;21
S0568;22
S0223;22
S0072;22
S0476;22
S0282;22
S0597;22
S0176;22
S0107;22
S0189;22
S0387;22
S0051;22
S0004;22
S0021;22
S0197;22
S0187;23
S0270;23
S0194;23
S0416;23
S0400;23
S0360;23
S0444;23
S0401;23
S0095;23
S0516;23
S0047;23
S0142;23
S0032;23
S0098;23
S0118;23
S0123;24
S0561;24
S0593;24
S0111;24
S0239;24
S0278;24
S0122;24
S0030;24
S0204;25
S0274;25
S0233;25
S0538;25
S0175;25
S0334;25
S0267;25
S0417;25
S0014;25
S0075;25
S0349;25
S0591;25
S0086;25
S0375;26
S0252;26
S0029;26
S0103;26
S0065;26
S0081;26
S0366;26
S0431;26
S0211;26
S0183;26
S0395;26
S0247;26
S0099;26
S0446;27
S0409;27
S0280;27
S0192;27
S0493;27
S0073;27
S0138;27
S0488;27
S0365;27
S0208;27
S0137;27
S0458;27
S0199;28
S0579;28
S0066;28
S0477;28
S0567;28
S0229;28
S0352;28
S0249;28
S0158;28
S0055;28
S0445;29
S0186;29
S0586;29
S0355;29
S0583;29
S0046;29
S0357;29
S0005;29
S0511;29
S0434;29
S0533;29
S0001;29
S0594;29
S0261;29
S0059;29
S0435;30
S0554;30
S0439;30
S0526;30
S0264;30
S0582;31
S0530;31
S0389;31
S0180;31
S0380;31
S0018;31
S0499;31
S0120;31
S0132;31
S0415;31
S0343;31
S0592;31
S0020;31
S0354;31
S0497;31
S0077;31
S0013;31
S0496;31
S0148;31
S0482;32
S0537;32
S0163;32
S0185;32
S0372;33
S0271;33
S0116;33
S0156;33
S0015;33
S0094;33
S0504;33
S0052;33
S0177;33
S0347;33
S0139;33
S0373;34
S0364;34
S0022;34
S0569;34
S0368;34
S0195;34
S0454;34
S0362;34
S0124;34
S0045;34
S0039;34
S0069;34
S0110;34
S0009;34
