ID;0;1;2;3
T1119;Collection;;;
T1185;Collection;;;
T1074.001;Collection;;;
T1074.002;Collection;;;
T1530;Collection;;;
T1602;Collection;;;
T1602.002;Collection;;;
T1560;Collection;;;
T1213.001;Collection;;;
T1560.003;Collection;;;
T1560.001;Collection;;;
T1123;Collection;;;
T1602.001;Collection;;;
T1025;Collection;;;
T1039;Collection;;;
T1005;Collection;;;
T1213.002;Collection;;;
T1560.002;Collection;;;
T1074;Collection;;;
T1213;Collection;;;
T1114.003;Collection;;;
T1115;Collection;;;
T1114.002;Collection;;;
T1114.001;Collection;;;
T1114;Collection;;;
T1125;Collection;;;
T1113;Collection;;;
T1056.004;Collection; Credential Access;;
T1056.002;Collection; Credential Access;;
T1056.001;Collection; Credential Access;;
T1056.003;Collection; Credential Access;;
T1557;Collection; Credential Access;;
T1557.001;Collection; Credential Access;;
T1557.002;Collection; Credential Access;;
T1056;Collection; Credential Access;;
T1090.002;Command And Control;;;
T1572;Command And Control;;;
T1095;Command And Control;;;
T1090;Command And Control;;;
T1571;Command And Control;;;
T1090.004;Command And Control;;;
T1001;Command And Control;;;
T1090.003;Command And Control;;;
T1219;Command And Control;;;
T1132.001;Command And Control;;;
T1132.002;Command And Control;;;
T1001.002;Command And Control;;;
T1001.003;Command And Control;;;
T1001.001;Command And Control;;;
T1090.001;Command And Control;;;
T1132;Command And Control;;;
T1104;Command And Control;;;
T1071.001;Command And Control;;;
T1102.003;Command And Control;;;
T1102.001;Command And Control;;;
T1102.002;Command And Control;;;
T1102;Command And Control;;;
T1008;Command And Control;;;
T1573.001;Command And Control;;;
T1573.002;Command And Control;;;
T1573;Command And Control;;;
T1568.001;Command And Control;;;
T1092;Command And Control;;;
T1568.003;Command And Control;;;
T1568;Command And Control;;;
T1071.003;Command And Control;;;
T1071.002;Command And Control;;;
T1071.004;Command And Control;;;
T1568.002;Command And Control;;;
T1105;Command And Control;;;
T1071;Command And Control;;;
T1205.001;Command And Control; Defense Evasion; Persistence;
T1205;Command And Control; Defense Evasion; Persistence;
T1003.006;Credential Access;;;
T1003.005;Credential Access;;;
T1003.008;Credential Access;;;
T1003;Credential Access;;;
T1555;Credential Access;;;
T1187;Credential Access;;;
T1555.001;Credential Access;;;
T1555.005;Credential Access;;;
T1555.002;Credential Access;;;
T1555.004;Credential Access;;;
T1003.004;Credential Access;;;
T1606.002;Credential Access;;;
T1606.001;Credential Access;;;
T1555.003;Credential Access;;;
T1606;Credential Access;;;
T1212;Credential Access;;;
T1003.003;Credential Access;;;
T1552.001;Credential Access;;;
T1552.007;Credential Access;;;
T1552.005;Credential Access;;;
T1552.003;Credential Access;;;
T1552;Credential Access;;;
T1111;Credential Access;;;
T1110;Credential Access;;;
T1110.004;Credential Access;;;
T1110.002;Credential Access;;;
T1110.001;Credential Access;;;
T1110.003;Credential Access;;;
T1552.002;Credential Access;;;
T1528;Credential Access;;;
T1539;Credential Access;;;
T1552.006;Credential Access;;;
T1558.004;Credential Access;;;
T1003.007;Credential Access;;;
T1003.002;Credential Access;;;
T1003.001;Credential Access;;;
T1552.004;Credential Access;;;
T1558.002;Credential Access;;;
T1558.003;Credential Access;;;
T1558;Credential Access;;;
T1558.001;Credential Access;;;
T1556;Credential Access; Defense Evasion; Persistence;
T1556.003;Credential Access; Defense Evasion; Persistence;
T1556.002;Credential Access; Defense Evasion; Persistence;
T1556.001;Credential Access; Defense Evasion; Persistence;
T1556.004;Credential Access; Defense Evasion; Persistence;
T1040;Credential Access; Discovery;;
T1070.004;Defense Evasion;;;
T1070.006;Defense Evasion;;;
T1127.001;Defense Evasion;;;
T1127;Defense Evasion;;;
T1202;Defense Evasion;;;
T1070.002;Defense Evasion;;;
T1070.001;Defense Evasion;;;
T1070.005;Defense Evasion;;;
T1221;Defense Evasion;;;
T1562.001;Defense Evasion;;;
T1070;Defense Evasion;;;
T1600.001;Defense Evasion;;;
T1222;Defense Evasion;;;
T1222.002;Defense Evasion;;;
T1222.001;Defense Evasion;;;
T1600.002;Defense Evasion;;;
T1600;Defense Evasion;;;
T1535;Defense Evasion;;;
T1564;Defense Evasion;;;
T1564.005;Defense Evasion;;;
T1564.001;Defense Evasion;;;
T1070.003;Defense Evasion;;;
T1564.002;Defense Evasion;;;
T1564.004;Defense Evasion;;;
T1564.006;Defense Evasion;;;
T1564.007;Defense Evasion;;;
T1562;Defense Evasion;;;
T1562.008;Defense Evasion;;;
T1562.007;Defense Evasion;;;
T1562.004;Defense Evasion;;;
T1553.003;Defense Evasion;;;
T1562.003;Defense Evasion;;;
T1562.006;Defense Evasion;;;
T1564.003;Defense Evasion;;;
T1553.005;Defense Evasion;;;
T1036.004;Defense Evasion;;;
T1553.001;Defense Evasion;;;
T1207;Defense Evasion;;;
T1027.003;Defense Evasion;;;
T1578;Defense Evasion;;;
T1578.002;Defense Evasion;;;
T1578.001;Defense Evasion;;;
T1578.003;Defense Evasion;;;
T1578.004;Defense Evasion;;;
T1112;Defense Evasion;;;
T1601;Defense Evasion;;;
T1601.002;Defense Evasion;;;
T1601.001;Defense Evasion;;;
T1211;Defense Evasion;;;
T1599;Defense Evasion;;;
T1599.001;Defense Evasion;;;
T1027.002;Defense Evasion;;;
T1027.005;Defense Evasion;;;
T1027.004;Defense Evasion;;;
T1027.001;Defense Evasion;;;
T1027;Defense Evasion;;;
T1014;Defense Evasion;;;
T1218;Defense Evasion;;;
T1036.006;Defense Evasion;;;
T1036.002;Defense Evasion;;;
T1553.006;Defense Evasion;;;
T1553.002;Defense Evasion;;;
T1553;Defense Evasion;;;
T1036;Defense Evasion;;;
T1036.001;Defense Evasion;;;
T1216.001;Defense Evasion;;;
T1216;Defense Evasion;;;
T1218.012;Defense Evasion;;;
T1218.011;Defense Evasion;;;
T1553.004;Defense Evasion;;;
T1218.010;Defense Evasion;;;
T1036.005;Defense Evasion;;;
T1218.008;Defense Evasion;;;
T1218.007;Defense Evasion;;;
T1218.005;Defense Evasion;;;
T1218.004;Defense Evasion;;;
T1218.002;Defense Evasion;;;
T1218.001;Defense Evasion;;;
T1218.003;Defense Evasion;;;
T1036.003;Defense Evasion;;;
T1218.009;Defense Evasion;;;
T1562.002;Defense Evasion;;;
T1220;Defense Evasion;;;
T1612;Defense Evasion;;;
T1006;Defense Evasion;;;
T1480;Defense Evasion;;;
T1480.001;Defense Evasion;;;
T1140;Defense Evasion;;;
T1497.003;Defense Evasion; Discovery;;
T1497.002;Defense Evasion; Discovery;;
T1497.001;Defense Evasion; Discovery;;
T1497;Defense Evasion; Discovery;;
T1610;Defense Evasion; Execution;;
T1078.002;Defense Evasion; Initial Access; Persistence; Privilege Escalation
T1078.003;Defense Evasion; Initial Access; Persistence; Privilege Escalation
T1078;Defense Evasion; Initial Access; Persistence; Privilege Escalation
T1078.004;Defense Evasion; Initial Access; Persistence; Privilege Escalation
T1078.001;Defense Evasion; Initial Access; Persistence; Privilege Escalation
T1550.003;Defense Evasion; Lateral Movement;;
T1550.002;Defense Evasion; Lateral Movement;;
T1550.001;Defense Evasion; Lateral Movement;;
T1550;Defense Evasion; Lateral Movement;;
T1550.004;Defense Evasion; Lateral Movement;;
T1197;Defense Evasion; Persistence;;
T1542.003;Defense Evasion; Persistence;;
T1542.005;Defense Evasion; Persistence;;
T1542.001;Defense Evasion; Persistence;;
T1542.004;Defense Evasion; Persistence;;
T1542.002;Defense Evasion; Persistence;;
T1542;Defense Evasion; Persistence;;
T1574.012;Defense Evasion; Persistence; Privilege Escalation;
T1574.001;Defense Evasion; Persistence; Privilege Escalation;
T1574.002;Defense Evasion; Persistence; Privilege Escalation;
T1574.004;Defense Evasion; Persistence; Privilege Escalation;
T1574.006;Defense Evasion; Persistence; Privilege Escalation;
T1574.005;Defense Evasion; Persistence; Privilege Escalation;
T1574.007;Defense Evasion; Persistence; Privilege Escalation;
T1574.008;Defense Evasion; Persistence; Privilege Escalation;
T1574.009;Defense Evasion; Persistence; Privilege Escalation;
T1574.011;Defense Evasion; Persistence; Privilege Escalation;
T1574.010;Defense Evasion; Persistence; Privilege Escalation;
T1574;Defense Evasion; Persistence; Privilege Escalation;
T1055.014;Defense Evasion; Privilege Escalation;;
T1484;Defense Evasion; Privilege Escalation;;
T1484.002;Defense Evasion; Privilege Escalation;;
T1484.001;Defense Evasion; Privilege Escalation;;
T1055.005;Defense Evasion; Privilege Escalation;;
T1055.003;Defense Evasion; Privilege Escalation;;
T1055.008;Defense Evasion; Privilege Escalation;;
T1055.012;Defense Evasion; Privilege Escalation;;
T1055.013;Defense Evasion; Privilege Escalation;;
T1055.009;Defense Evasion; Privilege Escalation;;
T1055;Defense Evasion; Privilege Escalation;;
T1055.004;Defense Evasion; Privilege Escalation;;
T1055.002;Defense Evasion; Privilege Escalation;;
T1055.011;Defense Evasion; Privilege Escalation;;
T1055.001;Defense Evasion; Privilege Escalation;;
T1548;Defense Evasion; Privilege Escalation;;
T1134.003;Defense Evasion; Privilege Escalation;;
T1548.004;Defense Evasion; Privilege Escalation;;
T1134.001;Defense Evasion; Privilege Escalation;;
T1134.005;Defense Evasion; Privilege Escalation;;
T1548.001;Defense Evasion; Privilege Escalation;;
T1548.002;Defense Evasion; Privilege Escalation;;
T1134;Defense Evasion; Privilege Escalation;;
T1134.002;Defense Evasion; Privilege Escalation;;
T1134.004;Defense Evasion; Privilege Escalation;;
T1548.003;Defense Evasion; Privilege Escalation;;
T1069.003;Discovery;;;
T1069.002;Discovery;;;
T1124;Discovery;;;
T1217;Discovery;;;
T1069.001;Discovery;;;
T1580;Discovery;;;
T1538;Discovery;;;
T1087.003;Discovery;;;
T1087.002;Discovery;;;
T1087.004;Discovery;;;
T1482;Discovery;;;
T1518.001;Discovery;;;
T1087;Discovery;;;
T1083;Discovery;;;
T1087.001;Discovery;;;
T1057;Discovery;;;
T1518;Discovery;;;
T1069;Discovery;;;
T1135;Discovery;;;
T1046;Discovery;;;
T1010;Discovery;;;
T1082;Discovery;;;
T1614;Discovery;;;
T1016;Discovery;;;
T1016.001;Discovery;;;
T1049;Discovery;;;
T1033;Discovery;;;
T1018;Discovery;;;
T1007;Discovery;;;
T1526;Discovery;;;
T1613;Discovery;;;
T1201;Discovery;;;
T1120;Discovery;;;
T1012;Discovery;;;
T1059.008;Execution;;;
T1059.007;Execution;;;
T1059.002;Execution;;;
T1059;Execution;;;
T1106;Execution;;;
T1609;Execution;;;
T1059.006;Execution;;;
T1059.004;Execution;;;
T1059.001;Execution;;;
T1559.001;Execution;;;
T1204.001;Execution;;;
T1129;Execution;;;
T1059.005;Execution;;;
T1569;Execution;;;
T1047;Execution;;;
T1203;Execution;;;
T1569.001;Execution;;;
T1569.002;Execution;;;
T1059.003;Execution;;;
T1204.003;Execution;;;
T1204.002;Execution;;;
T1559;Execution;;;
T1204;Execution;;;
T1559.002;Execution;;;
T1072;Execution; Lateral Movement;;
T1053.006;Execution; Persistence; Privilege Escalation;
T1053.007;Execution; Persistence; Privilege Escalation;
T1053.004;Execution; Persistence; Privilege Escalation;
T1053.003;Execution; Persistence; Privilege Escalation;
T1053.002;Execution; Persistence; Privilege Escalation;
T1053.001;Execution; Persistence; Privilege Escalation;
T1053;Execution; Persistence; Privilege Escalation;
T1053.005;Execution; Persistence; Privilege Escalation;
T1537;Exfiltration;;;
T1029;Exfiltration;;;
T1020;Exfiltration;;;
T1020.001;Exfiltration;;;
T1048;Exfiltration;;;
T1048.002;Exfiltration;;;
T1567.001;Exfiltration;;;
T1048.001;Exfiltration;;;
T1048.003;Exfiltration;;;
T1041;Exfiltration;;;
T1011;Exfiltration;;;
T1011.001;Exfiltration;;;
T1052;Exfiltration;;;
T1030;Exfiltration;;;
T1052.001;Exfiltration;;;
T1567;Exfiltration;;;
T1567.002;Exfiltration;;;
T1565.003;Impact;;;
T1565;Impact;;;
T1495;Impact;;;
T1485;Impact;;;
T1490;Impact;;;
T1486;Impact;;;
T1565.001;Impact;;;
T1499;Impact;;;
T1491;Impact;;;
T1491.002;Impact;;;
T1496;Impact;;;
T1491.001;Impact;;;
T1561.002;Impact;;;
T1561.001;Impact;;;
T1565.002;Impact;;;
T1499.003;Impact;;;
T1561;Impact;;;
T1499.001;Impact;;;
T1498.002;Impact;;;
T1498.001;Impact;;;
T1498;Impact;;;
T1529;Impact;;;
T1499.004;Impact;;;
T1531;Impact;;;
T1489;Impact;;;
T1499.002;Impact;;;
T1200;Initial Access;;;
T1566.001;Initial Access;;;
T1566.002;Initial Access;;;
T1566.003;Initial Access;;;
T1189;Initial Access;;;
T1199;Initial Access;;;
T1566;Initial Access;;;
T1190;Initial Access;;;
T1195.002;Initial Access;;;
T1195;Initial Access;;;
T1195.001;Initial Access;;;
T1195.003;Initial Access;;;
T1091;Initial Access; Lateral Movement;;
T1133;Initial Access; Persistence;;
T1080;Lateral Movement;;;
T1021.006;Lateral Movement;;;
T1563.001;Lateral Movement;;;
T1563.002;Lateral Movement;;;
T1563;Lateral Movement;;;
T1021;Lateral Movement;;;
T1021.003;Lateral Movement;;;
T1021.004;Lateral Movement;;;
T1021.002;Lateral Movement;;;
T1021.001;Lateral Movement;;;
T1021.005;Lateral Movement;;;
T1210;Lateral Movement;;;
T1534;Lateral Movement;;;
T1570;Lateral Movement;;;
T1505.001;Persistence;;;
T1137.005;Persistence;;;
T1137.006;Persistence;;;
T1137.003;Persistence;;;
T1137.002;Persistence;;;
T1098;Persistence;;;
T1098.003;Persistence;;;
T1098.001;Persistence;;;
T1525;Persistence;;;
T1098.002;Persistence;;;
T1554;Persistence;;;
T1505;Persistence;;;
T1505.002;Persistence;;;
T1505.003;Persistence;;;
T1137.001;Persistence;;;
T1136;Persistence;;;
T1137.004;Persistence;;;
T1136.003;Persistence;;;
T1136.002;Persistence;;;
T1136.001;Persistence;;;
T1176;Persistence;;;
T1098.004;Persistence;;;
T1137;Persistence;;;
T1546.008;Persistence; Privilege Escalation;;
T1547.014;Persistence; Privilege Escalation;;
T1547;Persistence; Privilege Escalation;;
T1546.011;Persistence; Privilege Escalation;;
T1546.014;Persistence; Privilege Escalation;;
T1546.015;Persistence; Privilege Escalation;;
T1546.004;Persistence; Privilege Escalation;;
T1547.004;Persistence; Privilege Escalation;;
T1546.003;Persistence; Privilege Escalation;;
T1546.001;Persistence; Privilege Escalation;;
T1547.003;Persistence; Privilege Escalation;;
T1547.001;Persistence; Privilege Escalation;;
T1547.005;Persistence; Privilege Escalation;;
T1546.009;Persistence; Privilege Escalation;;
T1547.007;Persistence; Privilege Escalation;;
T1547.012;Persistence; Privilege Escalation;;
